,English,Italian
180,come on,dai
181,there is,ce
182,need,bisogno
183,Mr,signor
184,well,beh
185,why,perchè
186,Come,vieni
187,to,alle
188,from the,dalla
189,was,stata
190,between,tra
191,Go,vai
192,hey,ehi
193,my,miei
194,friend,amico
195,He says,dice
196,would be,sarebbe
197,you have,avete
198,other,altra
199,needs to,deve
200,on the,sulla
201,some,qualche
202,it seems,sembra
203,people,gente
204,we have to,dobbiamo
205,way,modo
206,three,tre
207,moment,momento
208,You are welcome,prego
209,speak,parlare
210,mom,mamma
211,look,guarda
212,lady,signora
213,great,grande
214,there,lì
215,mother,madre
216,We can,possiamo
217,come on,avanti
218,to have,avere
219,success,successo
220,I was,ero
221,woman,donna
222,new,nuovo
223,Ah,ah
224,I do,faccio
225,had,aveva
226,our,nostro
227,of the,degli
228,these,questi
229,you are,siete
230,force,forza
231,like it,piace
232,beautiful,bella
233,where to,dov'
234,money,soldi
235,I had,avevo
236,favor,favore
237,is,fosse
238,other,altri
239,sorry,dispiace
240,immediately,subito
241,inside,dentro
242,today,oggi
243,agreement,accordo
244,all,tutta
245,face,faccia
246,first name,nome
247,ok,ok
248,night,notte
249,these,queste
250,son,figlio
251,world,mondo
252,our,nostra
253,know,sapere
254,I'm going,vado
255,all,tutte
256,wait,aspetta
257,love,amare
258,wife,moglie
259,safe,sicuro
260,his,suoi
261,I think,penso
262,fear,paura
263,idea,idea
264,head,testa
265,Pope,papà
266,right,giusto
267,eh,eh
268,I would like,vorrei
269,feel,senti
270,soon,presto
271,men,uomini
272,ll,ll
273,enough,basta
274,could,potrebbe
275,same,stesso
276,had,avuto
277,brings,porta
278,were,erano
279,to stay,stare
280,good,buona
281,so,quindi
282,to do it,farlo
283,as soon as,appena
284,have,abbia
285,reason,ragione
286,heard,sentito
287,Boys,ragazzi
288,tomorrow,domani
289,girl,ragazza
290,lad,ragazzo
291,together,insieme
292,under,sotto
293,I wanted,volevo
294,ready,pronto
295,in the,nei
296,that is,ciò
297,times,volte
298,understood,capito
299,happens,succede
300,taken ,preso
301,doing,facendo
302,pleasure,piacere
303,died,morto
304,your,tuoi
305,captain,capitano
306,read,letto
307,history,storia
308,case,caso
309,found,trovato
310,friends,amici
311,to come,venire
312,I say,dico
313,I understand,capisco
314,problem,problema
315,until,fino
316,guy,tipo
317,there,là
318,here,qua
319,think,pensi
320,have,aver
321,days,giorni
322,fuck,cazzo
323,okay,okay
324,nothing,nulla
325,nice,bello
326,people,persone
327,good,buon
328,Earth,terra
329,ia,ia
330,given,dato
331,according to,secondo
332,movie,film
333,in the',nell'
334,but no,mano
335,we do,facciamo
336,we see,vediamo
337,I see,vedo
338,they are,stanno
339,I would have,avrei
340,to take,prendere
341,you say,dici
342,serve,serve
343,death,morte
344,less,meno
345,city,città
346,eyes,occhi
347,end,fine
348,Mr,Sig.
349,And,ê
350,treasure,tesoro
351,excuse me,scusi
352,first,primo
353,believe,credi
354,Hello,salve
355,ship,nave
356,we are,stiamo
357,evening,sera
358,floor,piano
359,I feel,sento
360,machine,macchina
361,your,vostro
362,hands,mani
363,neither,neanche
364,from,dall'
365,doctor,dottore
366,which,quale
367,enough,abbastanza
368,late,tardi
369,nice,bel
370,heart,cuore
371,family,famiglia
372,do,far
373,States,stati
374,Help,aiuto
375,devil,diavolo
376,our,nostri
377,with the,col
378,almost,quasi
379,police,polizia
380,head,capo
381,it would have,avrebbe
382,those,quei
383,my,mie
384,return,tornare
385,However,però
386,versus,contro
387,he comes,viene
388,while,mentre
389,excuse me,scusa
390,lonely,sola
391,I hope,spero
392,those,quelle
393,to find,trovare
394,tour,giro
395,too,anch'
396,war,guerra
397,his,sue
398,baby,bambino
399,Street,strada
400,old,vecchio
401,brother,fratello
402,water,acqua
403,this evening,stasera
404,I thought,pensavo
405,who loves,chiama
406,person,persona
407,you see,vedi
408,was,fu
409,year,anno
410,your,vostra
411,truly,veramente
412,finished,finito
413,husband,marito
414,minutes,minuti
415,below,giù
416,women,donne
417,good boy,bravo
418,children,bambini
419,memories,ricordi
420,those,quelli
421,state,state
422,hours,ore
423,I was,stavo
424,due,dovuto
425,neither,nemmeno
426,coming,venuto
427,backwards,indietro
428,same,stessa
429,it matters,importa
430,no,nessun
431,point,punto
432,instead,invece
433,lost,perso
434,possible,possibile
435,killed,ucciso
436,loud,forte
437,thought,pensato
438,should,dovrebbe
439,thinks,pensa
440,little,poco
441,speak out,parla
442,lighthouse,farò
443,looking for,cercando
444,L,l
445,truth,verità
446,left,andato
447,that',quell'
448,king,re
449,do,fanno
450,I could,potrei
451,important,importante
452,this,quest'
453,love you,amo
454,asked,chiesto
455,as,cosi
456,in,nelle
457,happy,felice
458,feet,piedi
459,shit,merda
460,small,piccolo
461,you take,prendi
462,behind,dietro
463,I knew,sapevo
464,good morning,buongiorno
465,past,passato
466,dollars,dollari
467,as,com'
468,mashed potato,pure
469,to think,pensare
470,five,cinque
471,Neighbor,vicino
472,go out,uscire
473,I know,conosco
474,towards,verso
475,other,altre
476,four,quattro
477,to die,morire
478,blood,sangue
479,John,John
480,you was,eri
481,at least,almeno
482,say,dica
483,leaves,lascia
484,to live,vivere
485,fault,colpa
486,carried,portato
487,enter,entrare
488,I remember,ricordo
489,peace,pace
490,stuff,roba
491,Jack,Jack
492,improve,migliore
493,you do,fate
494,hard,difficile
495,week,settimana
496,last,ultima
497,should I,dovrei
498,made,fatta
499,I count,conto
500,room,stanza
501,between,fra
502,anyway,comunque
503,feel,sentire
504,number,numero
505,spoken,parlato
506,mind,mente
507,put,messo
508,strange,strano
509,fortune,fortuna
510,lose,perdere
511,your,tue
512,neither,né
513,daughter,figlia
514,lot of,molti
515,you want,volete
516,Doctor,dottor
517,word,parola
518,gentlemen,signori
519,outward,andata
520,view,vista
521,see,vede
522,none,nessuna
523,until,finché
524,to give,dare
525,give me,dammi
526,Mr.,Mr.
527,months,mesi
528,fire,fuoco
529,she wanted,voleva
530,to eat,mangiare
531,left,lasciato
532,sons,figli
533,serious,serio
534,country,paese
535,will make,farà
536,understand,capire
537,half,mezzo
538,trial,prova
539,Dear,cara
540,why',perche'
541,dog,cane
542,tell me,dimmi
543,dive,fossi
544,sense,senso
545,James,James
546,I am able to,riesco
547,yesterday,ieri
548,can,possa
549,could,potuto
550,school,scuola
551,S.,S.
552,can,possono
553,to work,lavorare
554,it means,significa
555,rest,resto
556,go,vada
557,small,piccola
558,it seems,pare
559,drinking,bere
560,well,ben
561,dinner,cena
562,young,giovane
563,problems,problemi
564,how many,quanti
565,large,gran
566,moment,attimo
567,listens,ascolta
568,to,agli
569,you should,dovresti
570,body,corpo
571,music,musica
572,game,gioco
573,that,qual
574,air,aria
575,I will be,sarò
576,make me,farmi
577,let's hope,magari
578,front,davanti
579,new,new
580,call,chiamo
581,gender,genere
582,book,libro
583,request,domanda
584,called,chiamato
585,to pass,passare
586,give her,dalle
587,field,campo
588,long,lungo
589,back,torna
590,pair,paio
591,was,stava
592,finite,finita
593,they will be,saranno
594,they want,vogliono
595,Hey,hey
596,sky,cielo
597,words,parole
598,car,auto
599,sister,sorella
600,new,nuova
601,stia,stia
602,Miss,signorina
603,party,festa
604,unpleasant,spiace
605,over,sopra
606,need,bisogna
607,vuol,vuol
608,phone,telefono
609,business,affari
610,easy,facile
611,speaking,parlando
612,expensive,caro
613,on,sui
614,ready,pronti
615,to remain,restare
616,Attention,attenzione
617,you think,crede
618,our,nostre
619,check,controllo
620,many,molte
621,only,unica
622,we should,dovremmo
623,make you,farti
624,only,soltanto
625,more',piu'
626,good,buono
627,whore,puttana
628,I live,vivo
629,we know,sappiamo
630,light,luce
631,general,generale
632,any,qualsiasi
633,we want,vogliamo
634,last,ultimo
635,they say,dicono
636,very good,benissimo
637,Harry,Harry
638,photo,foto
639,unique,unico
640,honor,onore
641,girls,ragazze
642,written,scritto
643,go,andate
644,keep,tieni
645,they are,siano
646,office,ufficio
647,enter,entra
648,I ask,chiedo
649,courage,coraggio
650,going,andando
651,come,venga
652,ten,dieci
653,I believed,credevo
654,wants,voglia
655,we could,potremmo
656,exact,esatto
657,to believe,credere
658,deals with,tratta
659,we were,eravamo
660,arrived,arrivato
661,girl,bambina
662,pistol,pistola
663,voice,voce
664,to sleep,dormire
665,leave,lasci
666,had,avessi
667,clear,chiaro
668,appearance,aspetto
669,squad,squadra
670,careful,attento
671,near,cerca
672,order,ordine
673,Joey,Joey
674,until we meet again,arrivederci
675,he arrives,arriva
676,weapons,armi
677,on,sulle
678,at this point,ormai
679,greater,maggiore
680,rush,fretta
681,you will be,sarai
682,sack,sacco
683,facts,fatti
684,York,York
685,you speak,parli
686,blow,colpo
687,I would be,sarei
688,m ',m'
689,coffee,caffè
690,Do you understand,capisci
691,saying,dicendo
692,your,vostri
693,room,camera
694,some,alcuni
695,to seek,cercare
696,I arrive,arrivo
697,wait,aspettare
698,situation,situazione
699,we will do,faremo
700,decided,deciso
701,exactly,esattamente
702,DE,dev'
703,goodbye,addio
704,scene,scena
705,English,inglese
706,perfect,perfetto
707,you can,potete
708,do for me,fammi
709,tall,alto
710,of the,dello
711,I take,prendo
712,you know,conosci
713,well,be'
714,you know,sapete
715,crazy,pazzo
716,who do you Love,chiami
717,got back,tornato
718,safe,sicura
719,to leave,lasciare
720,hair,capelli
721,power,potere
722,you had,avevi
723,death,morti
724,will have,avrà
725,fantastic,fantastico
726,marriage,matrimonio
727,step,passo
728,bring,portare
729,aspect,aspetti
730,back,torno
731,arrive,arrivare
732,trouble,guai
733,find,trova
734,reason,motivo
735,remain,resta
736,Start,inizio
737,stop that,smettila
738,become,diventare
739,could,potresti
740,n ',n'
741,wanted,voluto
742,they go,vanno
743,She said,disse
744,dead,morta
745,de,de
746,bath,bagno
747,uncle,zio
748,future,futuro
749,wrong,sbagliato
750,look,guardi
751,as',cosi'
752,safety,sicurezza
753,piece,pezzo
754,must,devono
755,coming,venuta
756,at the,allo
757,lieutenant,tenente
758,silence,silenzio
759,port,porto
760,kill,uccidere
761,hate,odio
762,on,sull'
763,play,giocare
764,distant,lontano
765,during,durante
766,secret,segreto
767,Sun,sole
768,to put,mettere
769,come,venite
770,tell me,dirmi
771,system,sistema
772,voyage,viaggio
773,it causes,causa
774,r,r
775,commander,comandante
776,weeks,settimane
777,simple,semplice
778,minute,minuto
779,fun,divertente
780,you would have,avresti
781,big,grandi
782,president,presidente
783,mouth,bocca
784,permit,permesso
785,old,vecchia
786,ass,culo
787,dream,sogno
788,it,glielo
789,c,c
790,watch,guardare
791,probably,probabilmente
792,I come,vengo
793,leave me,lasciami
794,ie,ie
795,in,negli
796,do,do
797,stopped,fermo
798,Shut up,zitto
799,real,vera
800,many,tante
801,LN,ln
802,colonel,colonnello
803,stupid,stupido
804,Christ,Cristo
805,know,conosce
806,hunger,fame
807,treatment,cura
808,prison,prigione
809,finish,finire
810,you will do,farai
811,d,d
812,good night,buonanotte
813,Tom,Tom
814,next,prossima
815,good,brava
816,species,specie
817,takes,prende
818,would like,piacerebbe
819,approximately,circa
820,works,funziona
821,you have to,dovete
822,ugly,brutto
823,get out,vattene
824,feel,sente
825,horse,cavallo
826,Sin,peccato
827,morning,mattina
828,Advice,consiglio
829,change,cambiare
830,know it,saperlo
831,to use,usare
832,naturally,naturalmente
833,keep on,continua
834,choice,scelta
835,possibility,possibilità
836,often,spesso
837,from,dà
838,tell you,dirti
839,rather,piuttosto
840,I find,trovo
841,background,fondo
842,remember,ricorda
843,watch,guardate
844,hospital,ospedale
845,whatever,qualunque
846,Maria,Maria
847,will go,andrà
848,law,legge
849,agent,agente
850,beyond,oltre
851,had,avesse
852,service,servizio
853,many,tanti
854,message,messaggio
855,day,giornata
856,he did,faceva
857,power,energia
858,incredible,incredibile
859,room,sala
860,mandate,mandato
861,call,chiamare
862,where you go,doveva
863,free,libero
864,airplane,aereo
865,received,ricevuto
866,port,porti
867,worry,preoccuparti
868,uh,uh
869,long last,finalmente
870,Which,quali
871,asshole,stronzo
872,monster,mostro
873,seven,sette
874,ready,pronta
875,you put,metti
876,Henry,Henry
877,program,programma
878,he could,poteva
879,set off,parti
880,known,saputo
881,match,partita
882,gentle,gentile
883,being able,poter
884,cold,freddo
885,s',s'
886,like,piacciono
887,Clark,Clark
888,see you,vederti
889,requests,domande
890,worse,peggio
891,they know,sanno
892,parents,genitori
893,friend,amica
894,usual,solito
895,soul,anima
896,terrible,terribile
897,good evening,buonasera
898,gold,oro
899,eye,occhio
900,yes',si'
901,radio,radio
902,how much it is,quante
903,full,pieno
904,report,rapporto
905,you will have,avrai
906,someone,alcune
907,try,provare
908,cute,carino
909,discovery,scoperto
910,America,America
911,money,denaro
912,company,compagnia
913,Interesting,interessante
914,lawyer,avvocato
915,t ',t'
916,dress,vestito
917,great,ottimo
918,they had,avevano
919,army,esercito
920,clothes,vestiti
921,train,treno
922,succeeding,succedendo
923,month,mese
924,impossible,impossibile
925,whoever,chiunque
926,vale,vale
927,in,nello
928,millions,milioni
929,food,cibo
930,time,tempi
931,jim,jim
932,more,piu
933,over there,laggiù
934,environment,intorno
935,need,servono
936,key,chiave
937,with,coi
938,right,diritto
939,forgotten,dimenticato
940,ve,ve
941,Christmas,natale
942,calm,calma
943,otherwise,altrimenti
944,t,t
945,Miss,Miss
946,tried,provato
947,be,dirlo
948,cinema,cinema
949,to ask,chiedere
950,delay,ritardo
951,reality,realtà
952,sea,mare
953,master,maestro
954,TV,TV
955,to pay,pagare
956,planet,pianeta
957,front,fronte
958,on,addosso
959,both of them,entrambi
960,diamond,dia
961,changed,cambiato
962,interest,interessa
963,absolutely,assolutamente
964,reply,risposta
965,respect,rispetto
966,penalty,pena
967,Jesus,Gesù
968,Michael,Michael
969,match,incontro
970,looked for,cercato
971,look,occhiata
972,think,pensando
973,that is,cioè
974,tea,the
975,news,notizie
976,surprise,sorpresa
977,Bastard,bastardo
978,health,salute
979,letter,lettera
980,accident,incidente
981,big,grosso
982,suns,soli
983,not,mica
984,It seemed,sembrava
985,grade,grado
986,to help,aiutare
987,left,sinistra
988,I had to,dovevo
989,happy,contento
990,song,canzone
991,He knew,sapeva
992,holy,santo
993,it will come,verrà
994,we will be,saremo
995,special,speciale
996,he said,diceva
997,position,posizione
998,group,gruppo
999,I swear,giuro
